Program Type,Program,Name,Borough/Community,Agency,Contact Number,Grade Level / Age Group,Location 1,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
"Jobs & Internships,Youth Employment",Summer Youth Employment ,"El Barrio's Operation Fightback, Inc.",Manhattan,"El Barrio's Operation Fightback, Inc.",212-410-7900,14 to 24,"320 Pleasant Avenue10035
(40.795839827532, -73.932604992632)",10035,40.795824,-73.932581,11,8,178,1053170,1017160001,East Harlem North                                                          
"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA JOHNSON HOUSES,Manhattan,SCAN @James Weldon Johnson Community Center,(212) 289-8819,6 and up,"1820 Lexington Avenue10029
(40.796664707745, -73.943093629535)",10029,40.796524,-73.943167,11,8,182,1079195,1016400001,East Harlem North                                                          
After-School Programs,Out of School Time,Fred Doug High School,Manhattan,The Childrens Aid Society,(212) 865-6337,High School,"885 Columbus Avenue10025
(40.797713348632, -73.963944750805)",10025,40.797762,-73.963944,7,7,189,1081301,1018360001,Upper West Side                                                            
After-School Programs,Teen Action Program,Frederick Douglass Center,New York,The Children's Aid Society,212.865.6337,13 to 21,"885 Columbus Avenue10025
(40.797713348632, -73.963944750805)",10025,40.797762,-73.963944,7,7,189,1081301,1018360001,Upper West Side                                                            
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Fred Douglas Elementary,Manhattan,The Childrens Aid Society,(212) 865-6337,Elementary,"885 Columbus Avenue10025
(40.797713348632, -73.963944750805)",10025,40.797762,-73.963944,7,7,189,1081301,1018360001,Upper West Side                                                            
After-School Programs,Beacon,JHS 45,Manhattan,Supportive Children's Advocacy Network (SCAN),212.722.4090,6 and up,"2351 1st Avenue10035
(40.798869844575, -73.93335561512)",10035,40.798884,-73.933319,11,8,194,1054786,1017970100,East Harlem North                                                          
After-School Programs,Teen Action Program,JHS 045 John S. Roberts,New York,"City Year, Inc.",646.452.3624,13 to 21,"2351 First Avenue10035
(40.798869844575, -73.93335561512)",10035,40.798884,-73.933319,11,8,194,1054786,1017970100,East Harlem North                                                          
"Family Support,NDA Programs",Healthy Families,Columbus -Amsterdam Business Improvement District,New York,Shorefront Jewish Community Council,(212) 362-3662,,"991 Amsterdam Avenue10024
(40.783625568166, -73.966539000574)",10025,40.802079,-73.964501,7,7,193,1056031,1018630063,Morningside Heights                                                        
After-School Programs,Out of School Time,Willow Ave Residence,Bronx,"Bronx Council On The Arts, Inc.",(718) 409-1265,MS/HS,"190 Willow Avenue10454
(40.802940511819, -73.912243824158)",10454,40.803026,-73.912209,1,17,19,2003998,2025880001,Mott Haven-Port Morris                                                     
After-School Programs,Out of School Time,Truce,Manhattan,"Harlem Children's Zone, Inc",(212) 663-0555,MS/HS,"147 St Nicholas Avenue10026
(40.804779088503, -73.952749806089)",10026,40.804551,-73.95275,10,9,218,1058397,1019230049,Central Harlem South                                                       
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Mill Brook Center,Bronx,"East Side House, Inc.",(718) 585-1254,OST,"201 St Ann's Avenue10454
(40.805947017287, -73.918140026334)",10454,40.805742,-73.918238,1,8,25,2090986,2022630019,Mott Haven-Port Morris                                                     
After-School Programs,Out of School Time,Mill Brook Center,Bronx,"East Side House, Inc.",(718) 585-1254,Elementary,"201 St Ann's Avenue10454
(40.805947017287, -73.918140026334)",10454,40.805742,-73.918238,1,8,25,2090986,2022630019,Mott Haven-Port Morris                                                     
Runaway & Homeless Youth,Transitional Independent Living Green Chimneys,Green Chimneys,Bronx,Green Chimneys,718.732.1510,,"79 Alexander Avenue10454
(40.806679757643, -73.927652937449)",10454,40.806267,-73.927915,1,8,19,2000683,2023080015,Mott Haven-Port Morris                                                     
"Jobs & Internships,Youth Employment",Summer Youth Employment ,Harlem PAL,Manhattan,"Police Athletic League, Inc. - Manhattan ",718-389-5309,14 to 24,"441 Manhattan Avenue10026
(40.806694644425, -73.955618643362)",10026,40.806654,-73.955649,10,9,257,1088138,1019450051,Central Harlem South                                                       
After-School Programs,Out of School Time,Mitchell Center,Bronx,"East Side House Settlement, Inc.",(718) 993-9355,High School,"205 Willis Avenue10454
(40.808120011712, -73.923664456479)",10454,40.808109,-73.923629,1,8,23,,,Mott Haven-Port Morris                                                     
After-School Programs,Teen Action Program,Michell Community Center,Bronx,"East Side House, Inc.",718.665.5250 ext.111,13 to 21,"205 Willis Avenue10454
(40.808120011712, -73.923664456479)",10454,40.808109,-73.923629,1,8,23,,,Mott Haven-Port Morris                                                     
"Family Support,NDA Programs",Fatherhood Initiative,Neighborhood Defender Service of Harlem,New York,Neighborhood Defender Service of Harlem,212.876.5500,16 to 24,"317 Lenox Avenue10027
(40.808477178137, -73.945100354507)",10027,40.808291,-73.945122,10,9,222,1085673,1019107501,Central Harlem South                                                       
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Sauti Yetu Center for African Women,Bronx,Citizens Advice Bureau,(718) 665-2486,High School,"2417 Third Avenue10451
(40.808668707428, -73.93066171207)",10451,40.808492,-73.930665,1,8,51,2000784,2023190100,Mott Haven-Port Morris                                                     
After-School Programs,Out of School Time,College Quest,Manhattan,"Harlem Educational Activities Fund, Inc.",(212) 663-9732,High School,"2090 7th Avenue10027
(40.8086819593, -73.948685059004)",10027,40.808639,-73.948582,10,9,222,1058640,1019300030,Central Harlem South                                                       
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Mitchel Center - ELEM.,Bronx,"East Side House, Inc.",(718) 993-9355,OST,"210 Alexander Avenue10454
(40.809332799649, -73.925609436072)",10454,40.809172,-73.925777,1,8,23,2091097,2022980040,Mott Haven-Port Morris                                                     
After-School Programs,Beacon,JHS 349/345,Bronx,Aspira of New York,718.842.8289,6 and up,"345 Brook Avenue10454
(40.810048624427, -73.91782345431)",10454,40.81004,-73.917792,1,8,41,2000391,2022860036,Mott Haven-Port Morris                                                     
After-School Programs,Out of School Time,x343,Bronx,"Just Us, Inc.",(718) 292-3883,Middle School,"345 Brook Avenue10454
(40.810048624427, -73.91782345431)",10454,40.81004,-73.917792,1,8,41,2000391,2022860036,Mott Haven-Port Morris                                                     
After-School Programs,Teen Action Program,Academy of Applied Mathematics and Technology (X343),Bronx,"Aspira of New York, Inc.",212.564.6880 ext.102,13 to 21,"345 Brook Avenue10454
(40.810048624427, -73.91782345431)",10454,40.81004,-73.917792,1,8,41,2000391,2022860036,Mott Haven-Port Morris                                                     
After-School Programs,Out of School Time,YMCA-Branch,Bronx,YMCA of Greater New York/Bronx,(718) 792-9736,Elementary,"2 Castle Hill Avenue10473
(40.81182713086, -73.846346233928)",10473,40.811781,-73.846335,9,18,90,2020591,2034870001,Soundview-Castle Hill-Clason Point-Harding Park                            
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Grant Day Care,Manhattan,"Boys & Girls Harbor, Inc",(646) 270-1210,Elementary,"1299 Amsterdam Avenue10027
(40.812567202299, -73.956821696479)",10027,40.811919,-73.957318,9,7,20901,1084095,1019640001,Morningside Heights                                                        
"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA BETANCES HOUSES,Bronx,Aspira of New York @Dr. Ramon E. Betances VI Community Center,(718) 585-5040,6 and up,"465 St Ann's Avenue10455
(40.812397776414, -73.914101227306)",10455,40.812488,-73.914357,1,8,43,2093910,2022720119,Mott Haven-Port Morris                                                     
"Family Support,NDA Programs", Housing,Citizen,Bronx,I.S.117 JOSEPH H WADE (X117),(718) 293-0727,Adults,"632 Southern Boulevard10455
(40.812893537386, -73.901332703215)",10455,40.812991,-73.90108,2,8,83,2004141,2026030150,Longwood                                                                   
"Family Support,NDA Programs",Healthy Families,Citizen,Bronx,OBT Bushwick,(718) 293-0727,,"632 Southern Boulevard10453
(38.824270333783, -76.997437153566)",10455,40.812991,-73.90108,2,8,83,2004141,2026030150,Longwood                                                                   
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 197 JOHN RUSSWURM SCHOOL,Manhattan,Episcopal Social Services,(212) 920-9899 / (917) 509-4269,Elementary,"2230 5 AVENUE10037
(40.813124796935, -73.937353412947)",10037,40.813184,-73.937322,10,9,212,1076433,1017330017,Central Harlem North-Polo Grounds                                          
Jobs & Internships,Young Adult Internship Program,Wildcat Service Corporation,Bronx,Wildcat Service Corporation,718.617.1378,16 to 24,"647 Bryant Avenue10474
(40.81317283679, -73.885202712578)",10474,40.81319,-73.885181,2,17,93,2115742,2027660074,Hunts Point                                                                
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Avenue St. John,Bronx,"Citizens Advice Bureau, Inc.",(718) 401-1227,Elementary,"666 Southern Boulevard10455
(40.813196493255, -73.900254581641)",10455,40.813199,-73.900343,2,8,83,2004144,2026030165,Longwood                                                                   
"NDA Programs,Senior Programs,Older Adult Program",Seniors,San Andres Church,Bronx,Mirabal Sisters Cultural and Community Center Office Space,(718) 542-0006,Seniors,"351 Soundview Avenue10473
(40.813006954452, -73.857389981858)",10473,40.813278,-73.857646,9,18,2,2020476,2034730030,Soundview-Castle Hill-Clason Point-Harding Park                            
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Patterson Center,Bronx,"East Side House, Inc.",(718) 993-2744,Elementary,"340 Morris Avenue10451
(40.813569236865, -73.925321709326)",10451,40.813717,-73.92523,1,8,51,2091127,2023250001,Mott Haven-Port Morris                                                     
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Bridges Juvenile Center,Bronx,Burnside Avenue Office,(718) 732-7523,High School,"1221 Spofford Avenue10474
(40.813944681349, -73.890640373087)",10474,40.813893,-73.890566,2,17,93,2005938,2027380035,Hunts Point                                                                
After-School Programs,Out of School Time,Bridges Center I & II,Bronx,"Bronx Council On The Arts, Inc.",(718) 409-1265,High School,"1221 Spofford Avenue10474
(40.813944681349, -73.890640373087)",10474,40.813893,-73.890566,2,17,93,2005938,2027380035,Hunts Point                                                                
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 48 JOSEPH R. DRAKE SCHOOL,Bronx,"Police Athletic League, Inc.",(718) 378-0772,OST,"1290 SPOFFORD AVENUE10474
(40.814368405087, -73.886868548592)",10474,40.814425,-73.886953,2,17,93,2006680,2027660001,Hunts Point                                                                
After-School Programs,Out of School Time,P.S. 48 JOSEPH R. DRAKE SCHOOL,Bronx,"Police Athletic League, Inc.",(718) 589-0239,Elementary,"1290 SPOFFORD AVENUE10474
(40.814368405087, -73.886868548592)",10474,40.814425,-73.886953,2,17,93,2006680,2027660001,Hunts Point                                                                
After-School Programs,Out of School Time,I.S. 174 EUGENE T. MALESKA SCHOOL,Bronx,YMCA of Greater New York/Bronx,(718) 822-5341,Middle School,"456 White Plains Road10473
(40.814765066384, -73.856537106421)",10473,40.814833,-73.85658,9,18,4,2020580,2034780018,Soundview-Castle Hill-Clason Point-Harding Park                            
After-School Programs,Teen Action Program,IS 174 - Eugene T Maleska,Bronx,YMCA of Greater New York- Bronx YMCA,718.792.9736,13 to 21,"456 White Plains Road10473
(40.814765066384, -73.856537106421)",10473,40.814833,-73.85658,9,18,4,2020580,2034780018,Soundview-Castle Hill-Clason Point-Harding Park                            
After-School Programs,Beacon,MS 201,Bronx,Graham Windham ,718.861.4671 ext. 230,6 and up,"730 Bryant Avenue10474
(40.815320775652, -73.885706252172)",10474,40.815477,-73.88577,2,17,117,2006566,2027630279,Hunts Point                                                                
After-School Programs,Teen Action Program,"MS 201 - School of Theatre, Arts and Research",Bronx,"City Year, Inc.",646.452.3624,13 to 21,"730 Bryant Avenue10474
(40.815320775652, -73.885706252172)",10474,40.815477,-73.88577,2,17,117,2006566,2027630279,Hunts Point                                                                
After-School Programs,Teen Action Program,JHS 162 LOLA RODRIGUEZ DE TIO (X162),Bronx,"Sports and Arts In Schools Foundation, Inc.",347.417.8159,13 to 21,"600 Saint Anns Avenue10455
(40.814953970992, -73.912534029879)",10455,40.815498,-73.91224,1,17,73,2004314,2026160001,Melrose South-Mott Haven North                                             
After-School Programs,Out of School Time,I.S. 162 IS 162 LOLA RODRIGUEZ,Bronx,"Sports and Arts In Schools Foundation, Inc.",(917) 593-2661,Middle School,"600 St Ann's Avenue10455
(40.814953970992, -73.912534029879)",10455,40.815498,-73.91224,1,17,73,2004314,2026160001,Melrose South-Mott Haven North                                             
After-School Programs,Out of School Time,Harlem Temple Community Center,Manhattan,The Salvation Army ,(212) 862-3900,Elementary,"540 Lenox Ave10037
(40.815696857939, -73.93961071124)",10037,40.815601,-73.939754,10,9,212,1053901,1017350001,Central Harlem North-Polo Grounds                                          
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Harlem Temple Community Center,Manhattan,The Salvation Army ,(212) 862-3900,OST,"540 Lenox Ave10037
(40.815696857939, -73.93961071124)",10037,40.815601,-73.939754,10,9,212,1053901,1017350001,Central Harlem North-Polo Grounds                                          
After-School Programs,Out of School Time,Horizon Center,Bronx,"Bronx Council On The Arts, Inc.",(718) 409-1265,High School,"560 Brook Avenue10455
(40.815873467697, -73.914389443441)",10455,40.815878,-73.914404,1,17,71,2000133,2022760001,Melrose South-Mott Haven North                                             
After-School Programs,Teen Action Program,COMMUNITY SCHOOL FOR SOCIAL JUSTICE (X427),Bronx,"Citizens Advice Bureau, Inc.",718.293.0727 ext.204,13 to 21,"350 Gerard Avenue10451
(40.815929079791, -73.930388700335)",10451,40.815938,-73.930386,1,8,63,2001027,2023440096,West Concourse                                                             
After-School Programs,Out of School Time,H.S. 427 COMMUNITY SCHOOL FOR,Bronx,"Citizens Advice Bureau, Inc.",(718) 402-8481,High School,"350 Gerard Avenue10451
(40.815929079791, -73.930388700335)",10451,40.815938,-73.930386,1,8,63,2001027,2023440096,West Concourse                                                             
After-School Programs,Teen Action Program,HEALTH OPPORTUNITIES HIGH SCHOOL (X670),Bronx,"East Side House, Inc.",718.402.5421,13 to 21,"350 Gerard Avenue10451
(40.815929079791, -73.930388700335)",10451,40.815938,-73.930386,1,8,63,2001027,2023440096,West Concourse                                                             
After-School Programs,Out of School Time,C.I.S./H.S. 670 HEALTH OPPORTU,Bronx,"East Side House, Inc.",(718) 401-1826,High School,"350 Gerard Avenue10451
(40.815929079791, -73.930388700335)",10451,40.815938,-73.930386,1,8,63,2001027,2023440096,West Concourse                                                             
"Jobs & Internships,Youth Employment",Summer Youth Employment ,South Bronx Overall Economic Development Corp.,Bronx,South Bronx Overall Economic Development Corp.,718-292-3113,14 to 24,"555 Bergen Avenue10455
(40.815944415254, -73.916415911483)",10455,40.815959,-73.916354,1,17,71,2097027,2022940002,Melrose South-Mott Haven North                                             
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,SoBRO,Bronx,SoBRO,(718) 292-3113 x 7611,16+,"555 Bergen Avenue10455
(40.815944415254, -73.916415911483)",10455,40.815959,-73.916354,1,17,71,2097027,2022940002,Melrose South-Mott Haven North                                             
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),South Bronx Overall Economic Development Corp.,Bronx,South Bronx Overall Economic Development Corp.,718.292.3113,High School,"555 Bergen Avenue10455
(40.815944415254, -73.916415911483)",10455,40.815959,-73.916354,1,17,71,2097027,2022940002,Melrose South-Mott Haven North                                             
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,"Big Brothers/Big Sisters, Inc. (Activity Site)",Bronx,"Big Brothers/Big Sisters, Inc.",212.994.7742,14-Nov,"555 Bergen Avenue10455
(40.815944415254, -73.916415911483)",10455,40.815959,-73.916354,1,17,71,2097027,2022940002,Melrose South-Mott Haven North                                             
After-School Programs,Teen Action Program,SOBRO,Bronx,South Bronx Overall Economic Development Corp.,718.292.3113,13 to 21,"555 Bergen Avenue10455
(40.815944415254, -73.916415911483)",10455,40.815959,-73.916354,1,17,71,2097027,2022940002,Melrose South-Mott Haven North                                             
After-School Programs,Out of School Time,Boys To Men,Bronx,Inwood House,(718) 742-8100,Middle School,"522 Courtland Avenue10451
(40.815926470191, -73.919803472121)",10451,40.816006,-73.919783,1,17,65,2000846,2023270038,Melrose South-Mott Haven North                                             
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Boys To Men,Bronx,Inwood House,(718) 742-8100,OST,"522 Courtland Avenue10451
(40.815926470191, -73.919803472121)",10451,40.816006,-73.919783,1,17,65,2000846,2023270038,Melrose South-Mott Haven North                                             
After-School Programs,Out of School Time,Wildcat Academy HS,Bronx,"Sports and Arts In Schools Foundation, Inc.",(347) 226-2511,High School,"1239 Lafayette Avenue10474
(40.81657523976, -73.889931963252)",10474,40.816503,-73.890071,2,17,93,2005939,2027390015,Hunts Point                                                                
"Jobs & Internships,Youth Employment",Summer Youth Employment ,PAL-New South Bx. Center,Bronx,"Police Athletic League, Inc. - Bronx ",718-389-5306,14 to 24,"991 Longwood Ave10459
(40.817260540417, -73.897738395898)",10459,40.817185,-73.897667,2,17,87,2100984,2027090001,Longwood                                                                   
After-School Programs,Out of School Time,PAL New South Bronx Center,Bronx,"Police Athletic League, Inc.",(718) 991-2447,Elementary,"991 Longwood Ave10459
(40.817260540417, -73.897738395898)",10459,40.817185,-73.897667,2,17,87,2100984,2027090001,Longwood                                                                   
"After-School Programs,Summer Program,Summer Camp",Out of School Time,PAL New South Bronx Center,Bronx,"Police Athletic League, Inc.",(718) 991-2447,OST,"991 Longwood Ave10459
(40.817260540417, -73.897738395898)",10459,40.817185,-73.897667,2,17,87,2100984,2027090001,Longwood                                                                   
After-School Programs,Out of School Time,PAL-South Bronx Center,Bronx,"Police Athletic League, Inc.",(718) 991-2447,High School,"991 Longwood Avenue10459
(40.817260540417, -73.897738395898)",10459,40.817185,-73.897667,2,17,87,2100984,2027090001,Longwood                                                                   
"Family Support,NDA Programs", Housing,Legal Services NYC-Bronx,Bronx,Abigail Mejia Technology Center,(718) 928-3736,Adults,"579 Courtlandt Avenue10451
(40.817333922357, -73.919220308047)",10451,40.817397,-73.919178,1,17,65,2001850,2024100048,Melrose South-Mott Haven North                                             
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 130 ABRAM STEVENS HEWITT,Bronx,"Citizens Advice Bureau, Inc.",(718) 292-3452,Elementary,"750 Prospect Avenue10455
(40.817645641432, -73.902433366345)",10455,40.817721,-73.902421,2,17,85,2005168,2026880001,Longwood                                                                   
After-School Programs,Out of School Time,Kips Bay 1,Bronx,Kips Bay Boys & Girls Club,(718) 893-8254,Elem/MS/HS,"1930 Randall Avenue10473
(40.81782677019, -73.856685373362)",10473,40.817841,-73.856704,9,18,16,2090508,2035280017,Soundview-Castle Hill-Clason Point-Harding Park                            
"Jobs & Internships,Youth Employment",Summer Youth Employment ,The Lucile Palmaro Clubhouse,Bronx,Kips Bay Boys & Girls Club,718-893-8600 x258/261,14 to 24,"1930 Randall Avenue10473
(40.81782677019, -73.856685373362)",10473,40.817841,-73.856704,9,18,16,2090508,2035280017,Soundview-Castle Hill-Clason Point-Harding Park                            
After-School Programs,Out of School Time,Dreamyard A.C.T.I.O.N.,Bronx,"Dream Yard Project, Inc.",(718) 588-8007,High School,"940 Garrison Avenue10474
(40.818136215724, -73.890954467788)",10474,40.818219,-73.890899,2,17,93,2005984,2027400075,Hunts Point                                                                
After-School Programs,Teen Action Program,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL (X473),Bronx,"East Side House, Inc.",718.665.5250 ext.111,13 to 21,"701 Saint Anns Avenue10455
(40.818360513934, -73.911009090951)",10455,40.81825,-73.91103,1,17,71,2001153,2023590240,Melrose South-Mott Haven North                                             
After-School Programs,Out of School Time,Mott Haven Village Prep,Bronx,"East Side House, Inc.",(718) 993-4719,High School,"701 St Ann's Avenue10455
(40.818360513934, -73.911009090951)",10455,40.81825,-73.91103,1,17,71,2001153,2023590240,Melrose South-Mott Haven North                                             
"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA SOUNDVIEW HOUSES,Bronx,Directions for our Youth @Soundview Community Center,(718) 378-6246,6 and up,"1680 Seward Avenue10473
(40.818345770841, -73.869003154917)",10473,40.818369,-73.86895,9,18,20,2092647,2035510001,Soundview-Castle Hill-Clason Point-Harding Park                            
"Jobs & Internships,Youth Employment",Summer Youth Employment ,Youth Education Thru Sports,Manhattan,New York City Mission Society,212-368-8400,14 to 24,"646 Malcolm X Blvd10037
(40.818574610432, -73.937465443105)",10037,40.818813,-73.937414,10,9,214,1081458,1017400001,Central Harlem North-Polo Grounds                                          
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),New York City Mission Society,New York,New York City Mission Society,212.979.5764,High School,"646 Malcolm X Boulevard10037
(40.818574610432, -73.937465443105)",10037,40.818813,-73.937414,10,9,214,1081458,1017400001,Central Harlem North-Polo Grounds                                          
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Kips Bay Boys and Girls Club -,Bronx,Kips Bay Boys & Girls Club,(718) 828-4518,OST,"625 Castle Hill Avenue10473
(40.819663515906, -73.848215304338)",10473,40.819754,-73.848209,9,18,86,2092673,2035700001,Soundview-Castle Hill-Clason Point-Harding Park                            
After-School Programs,Out of School Time,Kips Bay Boys and Girls Club -,Bronx,Kips Bay Boys & Girls Club,(718) 828-4518,Elementary,"625 Castle Hill Avenue10473
(40.819663515906, -73.848215304338)",10473,40.819754,-73.848209,9,18,86,2092673,2035700001,Soundview-Castle Hill-Clason Point-Harding Park                            
"Family Support,NDA Programs", Housing,Mothers on the Move,Bronx,Grand Street Settlement,(646) 459-3002,Adults,"928 Intervale Ave10459
(40.820040018263, -73.896665632933)",10459,40.820063,-73.896742,2,17,87,2005450,2027030001,Longwood                                                                   
"Family Support,NDA Programs",Healthy Families,Healthy Families,Bronx,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL (K6,(718) 538-3344,,"871 Westchester Avenue10459
(40.819894373252, -73.901287926209)",10459,40.820428,-73.900141,2,17,12901,2115281,2026907501,Longwood                                                                   
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Jaime Towers,Bronx,David Ruggles I.S. 258,(718) 542-0006,Seniors,"2050 Seward Avenue10473
(40.820490158387, -73.853089936926)",10473,40.820502,-73.853085,9,18,74,2092668,2035670001,Soundview-Castle Hill-Clason Point-Harding Park                            
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Lafayette Estates,Bronx,Mothers on the Move,(718) 542-0006,Seniors,"825 Morrison Avenue10473
(40.820736499268, -73.872662106285)",10473,40.82084,-73.872649,9,17,28,2092725,2036270030,Soundview-Castle Hill-Clason Point-Harding Park                            
After-School Programs,Out of School Time,Kips Bay 2,Bronx,Kips Bay Boys & Girls Club,(718) 824-9090,Elem/MS/HS,"550 Balcom Avenue10465
(40.821073448268, -73.825963722127)",10465,40.820911,-73.825943,10,13,144,2091470,2055640001,Schuylerville-Throgs Neck-Edgewater Park                                   
After-School Programs,Out of School Time,Broadway Housing,Manhattan,"Broadway Housing Communities, Inc",(212) 862-7155,Elem/MS,"583 Riverside Drive10031
(40.821344600283, -73.957183463693)",10031,40.821356,-73.957193,9,7,22301,1059949,1020020002,Manhattanville                                                             
After-School Programs,Out of School Time,P.S. 100 ISAAC CLASON SCHOOL,Bronx,New York Junior Tennis League,(718) 542-7420,Elementary,"800 TAYLOR AVENUE10473
(40.821404819933, -73.862957402971)",10473,40.821409,-73.862976,9,18,42,2022550,2036410001,Soundview-Castle Hill-Clason Point-Harding Park                            
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 100 ISAAC CLASON SCHOOL,Bronx,New York Junior Tennis League,(718) 542-7420,OST,"800 TAYLOR AVENUE10473
(40.821404819933, -73.862957402971)",10473,40.821409,-73.862976,9,18,42,2022550,2036410001,Soundview-Castle Hill-Clason Point-Harding Park                            
"Immigration Services,Immigrant Support Services",Domestic Violence Program,"Bronx Neighborhood Office, Legal Aid Society",Bronx,The Legal Aid Society,718.991.4758,Adults,"953 Southern Blvd10459
(40.821386978766, -73.891682337351)",10459,40.82148,-73.891688,2,17,159,2005787,2027240186,Hunts Point                                                                
"Family Support,NDA Programs",Healthy Families,Phipps Opportunity Center,Bronx,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL (K507),(212) 243-9090,,"3125 Third Avenue10451
(40.822057811069, -73.911764964498)",10451,40.821959,-73.911877,1,17,69,2000000,2023800051,Melrose South-Mott Haven North                                             
"NDA Programs,Senior Programs,Older Adult Program",Seniors,Thessalonia Baptist Church,Bronx,Dunlevy Milbank Center,(718) 542-0006,Seniors,"951 Rev James A Polite Avenue10459
(40.821926347823, -73.898966843931)",10459,40.822137,-73.898939,2,17,12901,2005225,2026900155,Longwood                                                                   
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Adlai E. Stevenson High School - H.S. 450,Bronx,"Episcopal Social Services, of New York, Inc.",212.886.5602,High School,"1980 Lafayette Avenue10473
(40.822259012658, -73.856286782562)",10473,40.82229,-73.856167,9,18,16,2022205,2036040039,Soundview-Castle Hill-Clason Point-Harding Park                            
After-School Programs,Out of School Time,H.S. 305 PABLO NERUDA ACADEMY,Bronx,OPUS Dance Theatre and Community Services Inc.,(646) 670-0516,High School,"1980 Lafayette Avenue10473
(40.822259012658, -73.856286782562)",10473,40.82229,-73.856167,9,18,16,2022205,2036040039,Soundview-Castle Hill-Clason Point-Harding Park                            
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,PSS/WSF GrandParent Family Apartment,Bronx,Manhattan Legal Services,(212) 874-6633,Middle School,"951 Prospect Avenue10459
(40.822158575217, -73.900615388998)",10459,40.822317,-73.900535,3,17,12901,2112796,2026780068,Longwood                                                                   
"NDA Programs,Senior Programs,Older Adult Program",Seniors,St. Andrews Senior Housing,Bronx,"Vannguard Urban Improvement Association, Inc.",(718) 542-0006,Seniors,"2155 Virgil Place10473
(40.822348788595, -73.850239575603)",10473,40.822318,-73.850263,9,18,86,2022369,2036120013,Soundview-Castle Hill-Clason Point-Harding Park                            
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,MS 216,Bronx,Mount Hope Community Center,(718) 732-7523,Middle School,"977 Fox Street10459
(40.822428225918, -73.89392410103)",10459,40.822443,-73.893902,2,17,159,2005660,2027140004,Hunts Point                                                                
After-School Programs,Out of School Time,I.S. 217 SCHOOL OF PERFORMING,Bronx,"Simpson Street Development Association, Inc.",(718) 589-1510,Elementary,"977 Fox Street10459
(40.822428225918, -73.89392410103)",10459,40.822443,-73.893902,2,17,159,2005660,2027140004,Hunts Point                                                                
After-School Programs,Out of School Time,I.S. 217 MS,Bronx,"Simpson Street Development Association, Inc.",(718) 589-1510,Middle School,"977 Fox Street10459
(40.822428225918, -73.89392410103)",10459,40.822443,-73.893902,2,17,159,2005660,2027140004,Hunts Point                                                                
After-School Programs,Beacon,IS 217,Bronx,"Simpson Street Development Association, Inc. ",718.589.1510,6 and up,"977 Fox Street10459
(40.822428225918, -73.89392410103)",10459,40.822443,-73.893902,2,17,159,2005660,2027140004,Hunts Point                                                                
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 72 DR. WILLIAM P. DORNEY,Bronx,"Directions For Our Youth, Inc.",(212) 362-4020,Elementary,"2951 DEWEY AVENUE10465
(40.822539080024, -73.818504254194)",10465,40.822604,-73.818247,10,13,158,2077162,2054400001,Schuylerville-Throgs Neck-Edgewater Park                                   
After-School Programs,Out of School Time,P.S./M.S. 75 P.S. 75,Bronx,Episcopal Social Services,(718) 328-5626,Elementary,"984 FAILE STREET10459
(40.822818392634, -73.889421138989)",10459,40.822719,-73.889435,2,17,119,2006079,2027470001,Hunts Point                                                                
